gene_name	Annese_et_al	Magistry_et_al	Luo_et_al	van_Rooij_et_al	upregulated_count	downregulated_count
SH3GL3	missing	missing	upregulated	missing	1	0
SH3PXD2B	missing	missing	upregulated	missing	1	0
SH3RF1	downregulated	missing	missing	missing	0	1
SH3TC1	upregulated	missing	missing	missing	1	0
SH3TC2-DT	upregulated	missing	missing	missing	1	0
SHANK1	missing	missing	missing	downregulated	0	1
SHANK2-AS2	downregulated	missing	missing	downregulated	0	2
SHC3	missing	missing	missing	downregulated	0	1
SHE	upregulated	missing	missing	missing	1	0
SHF	missing	missing	missing	downregulated	0	1
SHISA3	missing	missing	missing	upregulated	1	0
SHISA6	downregulated	missing	missing	downregulated	0	2
SHISA7	downregulated	missing	missing	missing	0	1
SHISA9	missing	missing	missing	downregulated	0	1
SHISAL1	missing	missing	missing	downregulated	0	1
SHKBP1	missing	missing	missing	upregulated	1	0
SHLD2	missing	missing	upregulated	missing	1	0
SHPRH	missing	missing	upregulated	missing	1	0
SHROOM1	upregulated	missing	missing	upregulated	2	0
SHROOM4	upregulated	missing	missing	missing	1	0
SIAH3	missing	missing	missing	downregulated	0	1
SIDT1-AS1	downregulated	missing	missing	downregulated	0	2
SIGLEC1	missing	missing	upregulated	missing	1	0
SIGLEC10-AS1	upregulated	missing	missing	missing	1	0
SIGLEC5	upregulated	missing	missing	missing	1	0
SIGLEC7	upregulated	missing	missing	missing	1	0
SIGLEC8	upregulated	missing	missing	missing	1	0
SIGLEC9	upregulated	missing	missing	missing	1	0
SIGMAR1	missing	missing	upregulated	missing	1	0
SIKE1	missing	missing	upregulated	missing	1	0
SILC1	upregulated	missing	downregulated	missing	1	1
SIN3B	missing	missing	missing	downregulated	0	1
SINHCAF	missing	missing	downregulated	upregulated	1	1
SIPA1	upregulated	missing	downregulated	upregulated	2	1
SIPA1L3	downregulated	missing	missing	missing	0	1
SIRPG	upregulated	missing	missing	missing	1	0
SIRT1-AS	missing	missing	missing	upregulated	1	0
SIX1	missing	missing	missing	upregulated	1	0
SIX4	missing	missing	missing	upregulated	1	0
SKA3	missing	missing	missing	downregulated	0	1
SKAP1-AS1	missing	downregulated	missing	missing	0	1
SKIC8	downregulated	missing	missing	missing	0	1
SKIL	missing	missing	downregulated	missing	0	1
SLA2	missing	missing	missing	upregulated	1	0
SLAMF8	missing	missing	missing	upregulated	1	0
SLC11A1	upregulated	missing	missing	missing	1	0
SLC12A5-AS1	downregulated	missing	upregulated	downregulated	1	2
SLC12A7	missing	missing	missing	upregulated	1	0
SLC12A8	missing	missing	missing	downregulated	0	1
SLC13A4	missing	missing	downregulated	upregulated	1	1
SLC13A5	missing	missing	missing	downregulated	0	1
SLC14A1	upregulated	missing	missing	upregulated	2	0
SLC15A3	missing	missing	missing	upregulated	1	0
SLC15A4	downregulated	missing	missing	missing	0	1
SLC15A5	upregulated	missing	missing	downregulated	1	1
SLC16A10	downregulated	missing	missing	missing	0	1
SLC16A11	missing	missing	upregulated	missing	1	0
SLC16A12-AS1	downregulated	missing	missing	upregulated	1	1
SLC16A13	missing	missing	downregulated	missing	0	1
SLC16A3	upregulated	missing	missing	missing	1	0
SLC16A4-AS1	missing	missing	missing	upregulated	1	0
SLC16A9	upregulated	missing	missing	missing	1	0
SLC17A6-DT	downregulated	missing	missing	downregulated	0	2
SLC17A7	downregulated	missing	missing	downregulated	0	2
SLC17A8	missing	missing	missing	downregulated	0	1
SLC17A9	upregulated	missing	missing	missing	1	0
SLC18A1	missing	missing	upregulated	upregulated	2	0
SLC18A2-AS1	missing	downregulated	missing	missing	0	1
SLC19A3	upregulated	missing	missing	upregulated	2	0
SLC1A2-AS1	missing	missing	missing	downregulated	0	1
SLC1A4	missing	missing	downregulated	downregulated	0	2
SLC1A5	upregulated	missing	missing	missing	1	0
SLC1A6	downregulated	missing	missing	downregulated	0	2
SLC1A7	missing	downregulated	missing	missing	0	1
SLC22A17	downregulated	missing	missing	missing	0	1
SLC22A18AS	missing	missing	downregulated	missing	0	1
SLC22A23	upregulated	missing	missing	missing	1	0
SLC22A25	downregulated	missing	missing	missing	0	1
SLC22A3	missing	missing	missing	upregulated	1	0
SLC22A4	missing	missing	downregulated	missing	0	1
SLC22A8	missing	missing	downregulated	missing	0	1
SLC23A3	missing	missing	missing	upregulated	1	0
SLC24A3-AS1	downregulated	missing	missing	downregulated	0	2
SLC24A4	downregulated	missing	missing	missing	0	1
SLC25A10	missing	missing	upregulated	missing	1	0
SLC25A11	downregulated	missing	missing	downregulated	0	2
SLC25A12	downregulated	missing	missing	downregulated	0	2
SLC25A16	downregulated	missing	missing	downregulated	0	2
SLC25A2	missing	missing	upregulated	missing	1	0
SLC25A22	missing	missing	missing	downregulated	0	1
SLC25A23	downregulated	missing	missing	downregulated	0	2
SLC25A3	downregulated	missing	missing	downregulated	0	2
SLC25A30-AS1	missing	missing	missing	upregulated	1	0
SLC25A34-AS1	missing	missing	downregulated	missing	0	1
SLC25A35	missing	missing	upregulated	missing	1	0
SLC25A39	missing	missing	upregulated	missing	1	0
SLC25A4	downregulated	missing	missing	missing	0	1
SLC25A44	missing	missing	missing	downregulated	0	1
SLC25A45	missing	missing	missing	downregulated	0	1
SLC26A1	missing	missing	upregulated	missing	1	0
SLC26A2	upregulated	missing	missing	missing	1	0
SLC26A4-AS1	missing	upregulated	upregulated	downregulated	2	1
SLC26A6	missing	missing	missing	upregulated	1	0
SLC26A7	missing	missing	upregulated	missing	1	0
SLC26A8	missing	missing	missing	downregulated	0	1
SLC26A9-AS1	missing	downregulated	missing	missing	0	1
SLC27A1	missing	missing	downregulated	missing	0	1
SLC27A2	downregulated	missing	missing	downregulated	0	2
SLC27A3	missing	missing	downregulated	missing	0	1
SLC27A5	missing	missing	downregulated	missing	0	1
SLC27A6	upregulated	missing	missing	missing	1	0
SLC28A1	missing	missing	downregulated	missing	0	1
SLC28A3-AS1	downregulated	missing	missing	missing	0	1
SLC29A4	missing	missing	upregulated	downregulated	1	1
SLC2A12	downregulated	missing	missing	missing	0	1
SLC2A13	downregulated	missing	missing	downregulated	0	2
SLC2A4RG	missing	missing	downregulated	missing	0	1
SLC2A5	upregulated	missing	missing	missing	1	0
SLC2A6	missing	missing	downregulated	missing	0	1
SLC2A8	missing	missing	upregulated	missing	1	0
SLC30A3	downregulated	missing	upregulated	downregulated	1	2
SLC30A9	downregulated	missing	missing	missing	0	1
SLC31A2	upregulated	missing	missing	missing	1	0
SLC32A1	missing	missing	missing	downregulated	0	1
SLC35A3	missing	missing	downregulated	missing	0	1
SLC35B1	missing	missing	missing	downregulated	0	1
SLC35B2	missing	missing	upregulated	missing	1	0
SLC35B3	missing	missing	upregulated	missing	1	0
SLC35E3	missing	missing	upregulated	missing	1	0
SLC35E4	missing	missing	downregulated	missing	0	1
SLC35F1	missing	missing	missing	downregulated	0	1
SLC35F4	missing	downregulated	missing	missing	0	1
SLC36A4	missing	missing	upregulated	missing	1	0
SLC37A2	upregulated	missing	missing	missing	1	0
SLC38A11	missing	missing	downregulated	upregulated	1	1
SLC38A2-AS1	upregulated	missing	missing	upregulated	2	0
SLC38A8	downregulated	missing	missing	missing	0	1
SLC38A9	missing	missing	upregulated	missing	1	0
SLC39A10	downregulated	missing	missing	missing	0	1
SLC39A12-AS1	downregulated	missing	missing	missing	0	1
SLC39A13-AS1	missing	missing	downregulated	missing	0	1
SLC39A3	missing	missing	missing	downregulated	0	1
SLC3A2	missing	missing	upregulated	missing	1	0
SLC41A3-AS1	missing	missing	missing	downregulated	0	1
SLC43A1	missing	upregulated	missing	missing	1	0
SLC43A2	missing	missing	missing	downregulated	0	1
SLC44A1	upregulated	missing	missing	missing	1	0
SLC44A2	missing	missing	downregulated	missing	0	1
SLC45A1	downregulated	missing	upregulated	downregulated	1	2
SLC45A3	upregulated	missing	missing	missing	1	0
SLC47A2	missing	upregulated	missing	upregulated	2	0
SLC49A3	missing	upregulated	upregulated	missing	2	0
SLC4A10	downregulated	missing	missing	downregulated	0	2
SLC4A11	missing	missing	downregulated	upregulated	1	1
SLC4A1AP	missing	missing	missing	downregulated	0	1
SLC4A2	downregulated	missing	missing	upregulated	1	1
SLC4A3	downregulated	missing	upregulated	downregulated	1	2
SLC4A4	downregulated	missing	upregulated	downregulated	1	2
SLC4A7	downregulated	missing	missing	missing	0	1
SLC4A8-AS1	missing	missing	missing	downregulated	0	1
SLC52A3	upregulated	missing	missing	upregulated	2	0
SLC5A11	upregulated	missing	missing	missing	1	0
SLC5A3	missing	missing	missing	upregulated	1	0
SLC5A5	downregulated	upregulated	downregulated	missing	1	2
SLC5A7	missing	downregulated	missing	missing	0	1
SLC6A12-AS1	upregulated	missing	missing	upregulated	2	0
SLC6A13	missing	missing	downregulated	missing	0	1
SLC6A17-AS1	missing	missing	missing	downregulated	0	1
SLC6A20	downregulated	missing	missing	missing	0	1
SLC6A7	downregulated	missing	missing	downregulated	0	2
SLC6A8	missing	missing	upregulated	missing	1	0
SLC6A9	missing	missing	upregulated	upregulated	2	0
SLC7A10	missing	missing	upregulated	missing	1	0
SLC7A14-AS1	downregulated	missing	missing	downregulated	0	2
SLC7A2-IT1	upregulated	missing	missing	upregulated	2	0
SLC7A4	missing	missing	missing	downregulated	0	1
SLC7A5	upregulated	missing	missing	upregulated	2	0
SLC7A5P2	upregulated	missing	missing	missing	1	0
SLC7A7	upregulated	missing	missing	upregulated	2	0
SLC7A8	upregulated	missing	missing	downregulated	1	1
SLC8A1-AS1	downregulated	missing	missing	downregulated	0	2
SLC8A2	downregulated	missing	upregulated	downregulated	1	2
SLC8A3	missing	missing	missing	downregulated	0	1
SLC9A7	downregulated	missing	missing	missing	0	1
SLC9A7P1	downregulated	missing	missing	missing	0	1
SLC9A9-AS1	upregulated	missing	missing	missing	1	0
SLCO1C1	downregulated	missing	missing	downregulated	0	2
SLCO2A1	missing	missing	upregulated	missing	1	0
SLCO2B1	upregulated	missing	missing	missing	1	0
SLCO4A1-AS1	upregulated	missing	missing	upregulated	2	0
SLF1	missing	missing	upregulated	missing	1	0
SLFN11	missing	missing	missing	upregulated	1	0
SLFN12	missing	missing	missing	upregulated	1	0
SLFN13	missing	missing	missing	upregulated	1	0
SLFN5	missing	missing	upregulated	missing	1	0
SLFNL1-AS1	missing	upregulated	missing	missing	1	0
SLIT1-AS1	downregulated	missing	missing	missing	0	1
SLIT2-IT1	downregulated	missing	missing	missing	0	1
SLIT3-AS2	downregulated	missing	missing	missing	0	1
SLITRK3	downregulated	missing	missing	downregulated	0	2
SLITRK4	downregulated	missing	upregulated	missing	1	1
SLITRK5	missing	missing	missing	downregulated	0	1
SLMAP	missing	missing	missing	upregulated	1	0
SLPI	missing	missing	missing	upregulated	1	0
SLTM	missing	missing	missing	upregulated	1	0
SLX9	missing	missing	downregulated	missing	0	1
SMARCA4	missing	missing	missing	downregulated	0	1
SMARCC1	missing	missing	missing	upregulated	1	0
SMIM1	missing	missing	upregulated	missing	1	0
SMIM10L2A	downregulated	missing	missing	missing	0	1
SMIM13	missing	missing	downregulated	missing	0	1
SMIM14-DT	missing	missing	upregulated	missing	1	0
SMIM18	missing	missing	missing	downregulated	0	1
SMIM22	missing	missing	missing	downregulated	0	1
SMIM27	missing	missing	upregulated	missing	1	0
SMIM29	downregulated	missing	downregulated	missing	0	2
SMIM43	missing	missing	missing	downregulated	0	1
SMIM44	missing	missing	upregulated	missing	1	0
SMIM45	downregulated	missing	missing	missing	0	1
SMKR1	missing	missing	upregulated	missing	1	0
SMN1	missing	missing	upregulated	missing	1	0
SMOC2	downregulated	missing	missing	missing	0	1
SMOX	upregulated	missing	upregulated	missing	2	0
SMPD3	downregulated	missing	missing	downregulated	0	2
SMTN	upregulated	missing	missing	upregulated	2	0
SMTNL2	missing	downregulated	missing	missing	0	1
SMYD2	downregulated	missing	missing	missing	0	1
SMYD3	missing	missing	missing	downregulated	0	1
SNAP23	missing	missing	missing	upregulated	1	0
SNAP25	downregulated	missing	missing	downregulated	0	2
SNAP47-AS1	missing	missing	missing	downregulated	0	1
SNAP91	downregulated	missing	missing	downregulated	0	2
SNAPC3	missing	missing	downregulated	missing	0	1
SNAPC5	missing	missing	missing	downregulated	0	1
SNCA-AS1	downregulated	missing	missing	downregulated	0	2
SNCB	downregulated	missing	missing	downregulated	0	2
SNCG	downregulated	missing	missing	downregulated	0	2
SNED1-AS1	missing	missing	upregulated	upregulated	2	0
SNPH	missing	missing	missing	downregulated	0	1
SNRNP48	upregulated	missing	upregulated	upregulated	3	0
SNRPA	missing	missing	downregulated	missing	0	1
SNRPN	missing	missing	upregulated	downregulated	1	1
SNTB1	downregulated	missing	missing	missing	0	1
SNTB2	missing	missing	missing	upregulated	1	0
SNX10-AS1	downregulated	missing	upregulated	downregulated	1	2
SNX32	missing	missing	missing	downregulated	0	1
SNX33	upregulated	missing	missing	missing	1	0
SNX6	missing	missing	upregulated	missing	1	0
SOAT1	missing	missing	missing	upregulated	1	0
SOCS3-DT	upregulated	missing	missing	upregulated	2	0
SOCS6	missing	missing	missing	upregulated	1	0
SOD3	downregulated	missing	missing	missing	0	1
SOHLH1	missing	missing	missing	downregulated	0	1
SORBS1	missing	missing	missing	upregulated	1	0
SORCS1	missing	missing	missing	downregulated	0	1
SORCS2	missing	missing	upregulated	missing	1	0
SORCS3-AS1	missing	missing	missing	downregulated	0	1
SOS1-IT1	missing	missing	upregulated	missing	1	0
SOS2	missing	missing	upregulated	missing	1	0
SOSTDC1	downregulated	missing	missing	missing	0	1
SOWAHB	missing	missing	missing	downregulated	0	1
SOX10	upregulated	missing	upregulated	missing	2	0
SOX2-OT	missing	missing	downregulated	missing	0	1
SOX7	upregulated	missing	missing	missing	1	0
SP100	missing	missing	missing	upregulated	1	0
SP140L	missing	missing	upregulated	missing	1	0
SP7	missing	missing	downregulated	missing	0	1
SP9	missing	missing	missing	downregulated	0	1
SPAG16-DT	missing	missing	upregulated	missing	1	0
SPAG6	downregulated	missing	missing	missing	0	1
SPAG7	missing	missing	upregulated	downregulated	1	1
SPAM1	missing	missing	upregulated	missing	1	0
SPARC	missing	missing	missing	upregulated	1	0
SPATA17-AS1	downregulated	missing	missing	missing	0	1
SPATA18	downregulated	missing	missing	missing	0	1
SPATA31H1	missing	missing	missing	downregulated	0	1
SPATS2	missing	missing	missing	downregulated	0	1
SPCS1	missing	missing	missing	downregulated	0	1
SPDYE3	missing	missing	missing	downregulated	0	1
SPECC1L-ADORA2A	missing	missing	missing	upregulated	1	0
SPEF1	downregulated	missing	missing	missing	0	1
SPEF2	downregulated	upregulated	upregulated	missing	2	1
SPHK1	missing	missing	upregulated	upregulated	2	0
SPHKAP	downregulated	missing	missing	downregulated	0	2
SPI1	upregulated	missing	missing	missing	1	0
SPINDOC	missing	missing	upregulated	missing	1	0
SPINK8	missing	missing	missing	upregulated	1	0
SPINT2	downregulated	missing	missing	downregulated	0	2
SPMIP5	missing	missing	missing	downregulated	0	1
SPMIP6	downregulated	missing	downregulated	missing	0	2
SPOCK2	missing	missing	missing	downregulated	0	1
SPOCK3	missing	missing	upregulated	missing	1	0
SPOPL-DT	missing	missing	upregulated	missing	1	0
SPPL2A	downregulated	missing	missing	missing	0	1
SPRED3	downregulated	missing	upregulated	missing	1	1
SPRN	missing	missing	missing	downregulated	0	1
SPRY1	downregulated	missing	missing	missing	0	1
SPRYD3	missing	missing	missing	downregulated	0	1
SPRYD7	missing	missing	missing	downregulated	0	1
SPSB1	upregulated	missing	missing	upregulated	2	0
SPSB2	missing	missing	upregulated	missing	1	0
SPSB3	missing	missing	upregulated	missing	1	0
SPTB	downregulated	missing	missing	missing	0	1
SPTBN2	downregulated	missing	missing	downregulated	0	2
SPTBN4	missing	missing	missing	downregulated	0	1
SPTLC2	upregulated	missing	upregulated	missing	2	0
SPTSSB	missing	missing	missing	downregulated	0	1
SQOR	missing	missing	upregulated	missing	1	0
SQSTM1	missing	missing	downregulated	missing	0	1
SRARP	upregulated	missing	missing	upregulated	2	0
SRD5A1	missing	missing	missing	downregulated	0	1
SREBF2-AS1	missing	missing	missing	downregulated	0	1
SREK1IP1	missing	missing	downregulated	upregulated	1	1
SRF	missing	missing	upregulated	missing	1	0
SRFBP1	missing	missing	upregulated	missing	1	0
SRGAP1	upregulated	missing	missing	missing	1	0
SRGAP3-AS4	missing	missing	missing	downregulated	0	1
SRGN	upregulated	missing	missing	upregulated	2	0
SRMS	missing	missing	missing	downregulated	0	1
SRP19	missing	missing	downregulated	missing	0	1
SRPK3	upregulated	missing	missing	missing	1	0
SRR	missing	missing	missing	downregulated	0	1
SRRM2-AS1	missing	missing	missing	upregulated	1	0
SRRM4	missing	missing	missing	downregulated	0	1
SRSF11	missing	missing	missing	upregulated	1	0
SRSF12	missing	missing	missing	downregulated	0	1
SRXN1	missing	missing	upregulated	missing	1	0
SS18L2	missing	missing	upregulated	missing	1	0
SSB	missing	missing	upregulated	missing	1	0
SSC4D	missing	missing	downregulated	missing	0	1
SST	downregulated	missing	missing	downregulated	0	2
SSTR1	missing	missing	missing	downregulated	0	1
SSTR2	downregulated	missing	missing	downregulated	0	2
SSTR3	missing	missing	missing	downregulated	0	1
SSX2IP	missing	missing	upregulated	downregulated	1	1
ST14	upregulated	missing	missing	missing	1	0
ST18	upregulated	missing	upregulated	missing	2	0
ST3GAL3-AS1	missing	missing	missing	downregulated	0	1
ST6GALNAC2	downregulated	missing	missing	upregulated	1	1
ST6GALNAC3	missing	missing	missing	upregulated	1	0
ST6GALNAC4-ST6GALNAC6-AK1	missing	missing	upregulated	missing	1	0
ST6GALNAC5	downregulated	missing	missing	downregulated	0	2
ST8SIA2	downregulated	missing	missing	downregulated	0	2
ST8SIA3	downregulated	missing	missing	downregulated	0	2
ST8SIA4	missing	missing	upregulated	missing	1	0
ST8SIA5-DT	missing	missing	missing	downregulated	0	1
ST8SIA6-AS1	missing	missing	missing	upregulated	1	0
STAB1	upregulated	missing	missing	missing	1	0
STAC	downregulated	missing	missing	missing	0	1
STAC2	missing	missing	downregulated	downregulated	0	2
STAG1-DT	missing	missing	missing	upregulated	1	0
STAP2	missing	missing	upregulated	missing	1	0
STARD10	missing	missing	missing	upregulated	1	0
STARD13-AS	upregulated	missing	missing	upregulated	2	0
STARD4-AS1	missing	missing	downregulated	missing	0	1
STARD7-AS1	missing	missing	missing	upregulated	1	0
STARD8	upregulated	missing	missing	missing	1	0
STARD9	upregulated	missing	missing	upregulated	2	0
STAT4-AS1	missing	missing	downregulated	downregulated	0	2
STAT5A	upregulated	missing	missing	upregulated	2	0
STAU2-AS1	missing	missing	missing	downregulated	0	1
STC1	downregulated	missing	missing	missing	0	1
STEAP2	missing	missing	missing	downregulated	0	1
STEAP3	missing	missing	missing	upregulated	1	0
STEAP4	missing	missing	upregulated	missing	1	0
STIM1-AS1	missing	missing	upregulated	missing	1	0
STIM2-AS1	downregulated	missing	missing	missing	0	1
STIMATE-MUSTN1	missing	missing	downregulated	missing	0	1
STK10	upregulated	missing	missing	upregulated	2	0
STK24	missing	missing	missing	upregulated	1	0
STK26	missing	missing	upregulated	missing	1	0
STK31	missing	missing	downregulated	missing	0	1
STK32C	missing	missing	missing	downregulated	0	1
STK38	missing	missing	missing	upregulated	1	0
STK40	missing	missing	missing	upregulated	1	0
STMN2	downregulated	missing	missing	downregulated	0	2
STMN3	downregulated	missing	missing	downregulated	0	2
STMN4	missing	missing	missing	downregulated	0	1
STOM	upregulated	missing	missing	missing	1	0
STOML1	downregulated	missing	missing	downregulated	0	2
STON1-GTF2A1L	missing	missing	missing	upregulated	1	0
STRIP2	downregulated	missing	missing	missing	0	1
STS	downregulated	missing	missing	missing	0	1
STUM	downregulated	missing	missing	downregulated	0	2
STX11	upregulated	missing	missing	missing	1	0
STX1A	downregulated	missing	missing	downregulated	0	2
STX1B	missing	missing	upregulated	downregulated	1	1
STX2	missing	missing	missing	upregulated	1	0
STXBP1	downregulated	missing	missing	downregulated	0	2
STXBP2	missing	missing	missing	upregulated	1	0
STXBP3	missing	missing	upregulated	missing	1	0
STXBP5L	downregulated	missing	upregulated	downregulated	1	2
STYK1	downregulated	missing	missing	downregulated	0	2
SUB1	downregulated	missing	missing	downregulated	0	2
SUGT1P4-STRA6LP-CCDC180	downregulated	missing	missing	missing	0	1
SULF1	downregulated	missing	missing	upregulated	1	1
SULT1B1	missing	downregulated	missing	missing	0	1
SULT2B1	missing	missing	downregulated	missing	0	1
SULT4A1	downregulated	missing	missing	downregulated	0	2
SUMO2	missing	missing	upregulated	missing	1	0
SUMO4	missing	missing	upregulated	missing	1	0
SUN2	upregulated	missing	downregulated	upregulated	2	1
SUOX	missing	missing	downregulated	missing	0	1
SUSD2	missing	missing	missing	upregulated	1	0
SUSD3	missing	upregulated	upregulated	missing	2	0
SUSD4	downregulated	missing	missing	downregulated	0	2
SV2A	downregulated	missing	missing	downregulated	0	2
SV2B	downregulated	missing	missing	downregulated	0	2
SV2C-AS1	downregulated	missing	downregulated	downregulated	0	3
SVEP1	downregulated	missing	missing	missing	0	1
SVIL-AS1	missing	missing	missing	upregulated	1	0
SVIP	missing	missing	upregulated	missing	1	0
SVOPL	downregulated	missing	missing	downregulated	0	2
SWAP70	upregulated	missing	missing	upregulated	2	0
SYBU-AS1	missing	missing	upregulated	downregulated	1	1
SYCE1L	missing	missing	upregulated	missing	1	0
SYCP2L	missing	missing	downregulated	missing	0	1
SYDE1	missing	missing	missing	upregulated	1	0
SYDE2	downregulated	missing	missing	missing	0	1
SYK	upregulated	missing	missing	missing	1	0
SYN2	downregulated	missing	missing	missing	0	1
SYN3-AS1	missing	missing	missing	downregulated	0	1
SYNE2	missing	missing	missing	upregulated	1	0
SYNE3-AS1	missing	missing	missing	upregulated	1	0
SYNGAP1-AS1	missing	missing	missing	downregulated	0	1
SYNGR1	downregulated	missing	missing	downregulated	0	2
SYNGR2	upregulated	missing	upregulated	missing	2	0
SYNGR3	missing	missing	upregulated	downregulated	1	1
SYNJ1	downregulated	missing	missing	downregulated	0	2
SYNM-AS2	upregulated	missing	missing	upregulated	2	0
SYNPO	downregulated	missing	missing	missing	0	1
SYNPR-AS1	downregulated	missing	missing	downregulated	0	2
SYP-AS1	downregulated	missing	missing	missing	0	1
SYPL1	missing	missing	missing	upregulated	1	0
SYPL2	missing	missing	upregulated	missing	1	0
SYS1-DBNDD2	missing	missing	downregulated	missing	0	1
SYT1	downregulated	missing	missing	downregulated	0	2
SYT11	downregulated	missing	upregulated	downregulated	1	2
SYT12	missing	missing	missing	downregulated	0	1
SYT13	downregulated	missing	missing	downregulated	0	2
SYT15-AS1	missing	missing	missing	downregulated	0	1
SYT16	downregulated	missing	upregulated	downregulated	1	2
SYT17	missing	missing	missing	downregulated	0	1
SYT3	missing	missing	missing	downregulated	0	1
SYT4	downregulated	missing	missing	downregulated	0	2
SYT5	downregulated	missing	upregulated	downregulated	1	2
SYT6	missing	missing	missing	downregulated	0	1
SYT7	missing	missing	missing	downregulated	0	1
SYTL1	downregulated	missing	missing	missing	0	1
SYTL3	downregulated	missing	missing	missing	0	1
SYTL5	downregulated	missing	missing	missing	0	1
SZRD1	missing	missing	downregulated	missing	0	1
TAB2-AS1	missing	missing	missing	upregulated	1	0
TAC1	downregulated	downregulated	missing	downregulated	0	3
TAC3	missing	missing	missing	downregulated	0	1
TAC4	downregulated	missing	missing	downregulated	0	2
TACO1	missing	missing	upregulated	missing	1	0
TACR1	missing	missing	upregulated	downregulated	1	1
TAF13	missing	missing	upregulated	missing	1	0
TAF3	missing	missing	missing	upregulated	1	0
TAF6	missing	missing	downregulated	missing	0	1
TAF6L	missing	missing	upregulated	missing	1	0
TAF8	missing	missing	missing	upregulated	1	0
TAF9	missing	missing	missing	downregulated	0	1
TAFA1	downregulated	missing	missing	downregulated	0	2
TAFA2	downregulated	missing	missing	downregulated	0	2
TAGLN	missing	missing	downregulated	upregulated	1	1
TAGLN2	missing	missing	downregulated	upregulated	1	1
TAGLN3	downregulated	missing	missing	downregulated	0	2
TAL1	upregulated	missing	missing	upregulated	2	0
TARBP1	downregulated	missing	missing	missing	0	1
TAS1R3	missing	missing	downregulated	missing	0	1
TAS2R10	missing	missing	downregulated	missing	0	1
TAS2R13	missing	missing	upregulated	missing	1	0
TAS2R30	missing	missing	upregulated	missing	1	0
TAS2R31	missing	missing	upregulated	missing	1	0
TAS2R4	missing	missing	downregulated	missing	0	1
TAS2R46	missing	missing	upregulated	missing	1	0
TAS2R50	missing	missing	upregulated	missing	1	0
TAS2R7	missing	missing	downregulated	missing	0	1
TAS2R8	missing	missing	downregulated	missing	0	1
TASL	missing	missing	upregulated	missing	1	0
TATDN3	missing	missing	upregulated	downregulated	1	1
TBC1D10C	missing	missing	upregulated	missing	1	0
TBC1D24	missing	missing	missing	downregulated	0	1
TBC1D25	missing	missing	upregulated	missing	1	0
TBC1D2B	missing	missing	missing	upregulated	1	0
TBC1D30	downregulated	missing	missing	downregulated	0	2
TBC1D31	missing	missing	upregulated	missing	1	0
TBC1D4	missing	missing	missing	upregulated	1	0
TBC1D7-LOC100130357	missing	missing	missing	downregulated	0	1
TBC1D9	downregulated	missing	missing	missing	0	1
TBCC	missing	missing	missing	downregulated	0	1
TBK1	missing	missing	downregulated	missing	0	1
TBR1	missing	missing	missing	downregulated	0	1
TBX15	missing	missing	missing	upregulated	1	0
TBX18-AS1	missing	missing	missing	upregulated	1	0
TBX6	missing	missing	missing	upregulated	1	0
TBXA2R	missing	missing	missing	upregulated	1	0
TBXAS1	upregulated	missing	missing	missing	1	0
TCAF1	downregulated	missing	missing	downregulated	0	2
TCAP	upregulated	missing	missing	upregulated	2	0
TCEA2	missing	missing	upregulated	missing	1	0
TCEA3	missing	missing	upregulated	missing	1	0
TCEAL2	downregulated	missing	missing	missing	0	1
TCEAL4	downregulated	missing	downregulated	missing	0	2
TCEAL5	downregulated	missing	missing	missing	0	1
TCEAL6	missing	missing	downregulated	missing	0	1
TCERG1L-AS1	missing	missing	missing	downregulated	0	1
TCF20	missing	missing	upregulated	missing	1	0
TCF4-AS1	missing	missing	upregulated	missing	1	0
TCF7L1-IT1	missing	missing	missing	upregulated	1	0
TCIM	missing	missing	upregulated	missing	1	0
TCIRG1	upregulated	missing	missing	upregulated	2	0
TCN2	missing	missing	upregulated	missing	1	0
TCP11L2	missing	missing	missing	upregulated	1	0
TCP11X1	missing	missing	downregulated	missing	0	1
TDO2	downregulated	missing	missing	downregulated	0	2
TDRD10	missing	missing	missing	upregulated	1	0
TDRD5	missing	missing	missing	downregulated	0	1
TDRD6-AS1	missing	missing	downregulated	downregulated	0	2
TDRD9	missing	missing	missing	downregulated	0	1
TEAD2	missing	missing	missing	upregulated	1	0
TEAD3	missing	missing	missing	upregulated	1	0
TEAD4	upregulated	missing	missing	upregulated	2	0
TEC	missing	missing	missing	upregulated	1	0
TECPR1	missing	missing	missing	downregulated	0	1
TEF	missing	missing	missing	downregulated	0	1
TEKT1	downregulated	missing	missing	missing	0	1
TEKTIP1	missing	missing	downregulated	missing	0	1
TELO2	missing	missing	upregulated	missing	1	0
TENM1	missing	missing	upregulated	missing	1	0
TENM2-AS1	downregulated	missing	missing	downregulated	0	2
TENM3-AS2	missing	missing	missing	downregulated	0	1
TENT4A	missing	missing	upregulated	missing	1	0
TENT5A	missing	missing	missing	upregulated	1	0
TENT5B	missing	missing	upregulated	missing	1	0
TENT5C	downregulated	missing	missing	upregulated	1	1
TEPSIN	missing	missing	missing	upregulated	1	0
TERF1	missing	missing	upregulated	missing	1	0
TERF2IP	missing	missing	missing	downregulated	0	1
TESC-AS1	downregulated	missing	missing	downregulated	0	2
TESK1	missing	missing	upregulated	missing	1	0
TESPA1	upregulated	missing	upregulated	downregulated	2	1
TET3	missing	missing	upregulated	missing	1	0
TEX29	missing	upregulated	missing	missing	1	0
