gene_symbol,gene_id,is_upregulated_in_AD,brain_region,study,quality_assessment
CRH,ENSG00000147571.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PNOC,ENSG00000168081.8,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FRMPD2B,ENSG00000150175.13,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LPA,ENSG00000198670.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
WNT1,ENSG00000125084.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC010616.2,ENSG00000285505.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SSTR4,ENSG00000132671.5,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC019117.2,ENSG00000283321.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GOLGA6B,ENSG00000215186.6,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GOLGA6L2,ENSG00000174450.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CLEC4F,ENSG00000152672.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PCDHGC5,ENSG00000240764.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HDC,ENSG00000140287.10,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
OACYLP,ENSG00000224367.6,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AL359510.1,ENSG00000227625.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC007016.1,ENSG00000249930.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
C6orf222,ENSG00000189325.6,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SPRR2G,ENSG00000159516.8,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SERPINB2,ENSG00000197632.8,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GSG1L2,ENSG00000214978.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AP004833.2,ENSG00000255162.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
OR7E47P,ENSG00000257542.5,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC133473.1,ENSG00000236489.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TERT,ENSG00000164362.19,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MCHR2,ENSG00000152034.10,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AP005019.2,ENSG00000274664.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
KHDC3L,ENSG00000203908.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MS4A8,ENSG00000166959.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC073869.2,ENSG00000224425.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
A4GNT,ENSG00000118017.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LENG1,ENSG00000277808.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC005324.4,ENSG00000255104.8,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PRTN3,ENSG00000196415.9,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PRTN3,ENSG00000277804.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SST,ENSG00000157005.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CYP24A1,ENSG00000019186.9,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SOWAHB,ENSG00000186212.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HJV,ENSG00000168509.19,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
KRT5,ENSG00000186081.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC034268.1,ENSG00000262384.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SNAPC5P1,ENSG00000241216.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ASTL,ENSG00000188886.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC46A2,ENSG00000119457.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC32A1,ENSG00000101438.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CCL3L3,ENSG00000277768.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CHRM4,ENSG00000180720.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
OR14I1,ENSG00000189181.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HBG2,ENSG00000196565.14,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TRIM75P,ENSG00000250374.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
USP17L2,ENSG00000284990.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC007225.1,ENSG00000260782.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TAC3,ENSG00000166863.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
C1QL3,ENSG00000165985.9,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ATP12A,ENSG00000075673.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
DCLK3,ENSG00000163673.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
OR7E161P,ENSG00000285469.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GPR89P,ENSG00000216915.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC138647.1,ENSG00000226490.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CGB7,ENSG00000196337.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
BX842568.4,ENSG00000235510.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GNL3LP1,ENSG00000215032.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
OR1F1,ENSG00000168124.2,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CCDC166,ENSG00000255181.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CCDC166,ENSG00000278749.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ZCCHC12,ENSG00000174460.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SERTM1,ENSG00000180440.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HPX,ENSG00000110169.10,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CA12,ENSG00000074410.13,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ADRA1D,ENSG00000171873.7,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC062028.1,ENSG00000226080.1,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CARTPT,ENSG00000164326.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FRMPD2,ENSG00000170324.20,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PNMA5,ENSG00000198883.11,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ICAM5,ENSG00000105376.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ADCYAP1,ENSG00000141433.12,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CBLN4,ENSG00000054803.3,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CHRNA6,ENSG00000147434.8,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
KCNH4,ENSG00000089558.8,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
KLHL14,ENSG00000197705.9,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CHGB,ENSG00000089199.9,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CALML3,ENSG00000178363.4,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ADAMTSL1,ENSG00000178031.16,FALSE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
KCNJ10,ENSG00000177807.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CNTF,ENSG00000242689.2,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HSPA2,ENSG00000126803.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CLCA4,ENSG00000016602.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
EMP3,ENSG00000142227.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CSRP1,ENSG00000159176.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SIK1B,ENSG00000275993.2,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AL137784.1,ENSG00000219755.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC010424.1,ENSG00000249577.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AZGP1,ENSG00000160862.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
NUPR1,ENSG00000176046.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GPIHBP1,ENSG00000277494.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
C11orf94,ENSG00000234776.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ANGPT2,ENSG00000091879.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FAM19A3,ENSG00000184599.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TEX43,ENSG00000196900.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FZD9,ENSG00000188763.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SMLR1,ENSG00000256162.2,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC091982.2,ENSG00000270978.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MICA,ENSG00000235233.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GJA4,ENSG00000187513.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
NFE2,ENSG00000123405.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ITPKB,ENSG00000143772.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
DKKL1,ENSG00000104901.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FOXD1,ENSG00000251493.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TCF15,ENSG00000125878.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CLEC10A,ENSG00000132514.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MYOT,ENSG00000120729.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SGCZ,ENSG00000185053.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ARRDC2,ENSG00000105643.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PRELP,ENSG00000188783.5,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
RIPOR3,ENSG00000042062.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TEAD2,ENSG00000074219.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FOXJ1,ENSG00000129654.7,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC25A48,ENSG00000145832.14,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CYTL1,ENSG00000170891.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SHISA3,ENSG00000178343.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HERC2P3,ENSG00000180229.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TNFAIP6,ENSG00000123610.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SMTN,ENSG00000183963.18,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HSD11B2,ENSG00000176387.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GFAP,ENSG00000131095.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ISYNA1,ENSG00000105655.18,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LCN6,ENSG00000267206.5,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TMPRSS5,ENSG00000166682.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SYTL4,ENSG00000102362.15,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FAM167B,ENSG00000183615.5,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HLA-DQB1,ENSG00000225824.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AQP6,ENSG00000086159.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CCDC102A,ENSG00000135736.5,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MAFF,ENSG00000185022.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MFAP2,ENSG00000117122.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ANLN,ENSG00000011426.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CASP12,ENSG00000204403.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MT1G,ENSG00000125144.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PRR33,ENSG00000283787.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CLCNKA,ENSG00000186510.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AZGP1P1,ENSG00000214313.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MT1H,ENSG00000205358.3,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
IP6K3,ENSG00000161896.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GLI1,ENSG00000111087.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PCK1,ENSG00000124253.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
DDIT4L,ENSG00000145358.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PHYHD1,ENSG00000175287.18,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC6A9,ENSG00000196517.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PTGES3P1,ENSG00000234518.2,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
DDIT4,ENSG00000168209.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLCO4A1,ENSG00000101187.15,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CLDN7,ENSG00000181885.18,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TRIP10,ENSG00000125733.17,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GEM,ENSG00000164949.7,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC6A12,ENSG00000111181.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MRGPRF,ENSG00000172935.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LILRA2,ENSG00000275290.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GFRA3,ENSG00000146013.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MMRN1,ENSG00000138722.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
GAREM2,ENSG00000157833.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC023538.1,ENSG00000255437.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MT1L,ENSG00000260549.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
BIRC7,ENSG00000101197.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
WDR64,ENSG00000162843.17,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC5A11,ENSG00000158865.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
TSLP,ENSG00000145777.14,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MT1JP,ENSG00000255986.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MT1F,ENSG00000198417.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FNDC11,ENSG00000125531.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LY6G6F-LY6G6D,ENSG00000258635.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
APLN,ENSG00000171388.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
B2M,ENSG00000273686.4,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CDC42BPG,ENSG00000171219.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
IL9,ENSG00000145839.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
WISP1,ENSG00000104415.14,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
NPIPA8,ENSG00000214940.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CD48,ENSG00000117091.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CXCL6,ENSG00000124875.9,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
PF4,ENSG00000163737.3,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
FOXA3,ENSG00000170608.2,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AC142384.1,ENSG00000259882.2,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
AL021407.1,ENSG00000217078.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LY6G5C,ENSG00000204428.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CXCR4,ENSG00000121966.6,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SERPINA5,ENSG00000188488.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
SLC4A11,ENSG00000088836.13,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
ADORA2BP1,ENSG00000236136.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
S100A4,ENSG00000196154.11,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HLA-B,ENSG00000224608.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CXCL9,ENSG00000138755.5,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
CBX1P3,ENSG00000237379.1,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
LTF,ENSG00000012223.12,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
MTCO3P12,ENSG00000198744.5,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HLA-C,ENSG00000237022.10,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
HLA-DRB1,ENSG00000236884.8,TRUE,Frontal Lobe (ROSMAP),Marques-Coelho,2.3
5_8S_rRNA,ENST00000515896,FALSE,Parietal Lobe,Mills et al.,1.5
AC003043.2,ENST00000424548,FALSE,Parietal Lobe,Mills et al.,1.5
AC006368.1,ENST00000490522,FALSE,Parietal Lobe,Mills et al.,1.5
AC007314.1,ENST00000502075,FALSE,Parietal Lobe,Mills et al.,1.5
AC009455.1,ENST00000507480,FALSE,Parietal Lobe,Mills et al.,1.5
AC021914.2,ENST00000470516,FALSE,Parietal Lobe,Mills et al.,1.5
AC022861.4,ENST00000466170,FALSE,Parietal Lobe,Mills et al.,1.5
AC025627.3,ENST00000417560,FALSE,Parietal Lobe,Mills et al.,1.5
AC026305.2,ENST00000482577,FALSE,Parietal Lobe,Mills et al.,1.5
AC034110.2,ENST00000501193,FALSE,Parietal Lobe,Mills et al.,1.5
AC064834.4,ENST00000331585,FALSE,Parietal Lobe,Mills et al.,1.5
AC068473.1,ENST00000317008,FALSE,Parietal Lobe,Mills et al.,1.5
AC073308.1,ENST00000492114,FALSE,Parietal Lobe,Mills et al.,1.5
AC091013.1,ENST00000499752,FALSE,Parietal Lobe,Mills et al.,1.5
AC092681.1,ENST00000502920,FALSE,Parietal Lobe,Mills et al.,1.5
AC093616.1,ENST00000484942,FALSE,Parietal Lobe,Mills et al.,1.5
AC097526.16,ENST00000494198,FALSE,Parietal Lobe,Mills et al.,1.5
AC104463.1,ENST00000513983,FALSE,Parietal Lobe,Mills et al.,1.5
AC112777.1,ENST00000459949,FALSE,Parietal Lobe,Mills et al.,1.5
AC113407.10,ENST00000491579,FALSE,Parietal Lobe,Mills et al.,1.5
AC113407.6,ENST00000461333,FALSE,Parietal Lobe,Mills et al.,1.5
AC114770.1,ENST00000475601,FALSE,Parietal Lobe,Mills et al.,1.5
AC117494.1,ENST00000405395,FALSE,Parietal Lobe,Mills et al.,1.5
AC132186.1,ENST00000299694,FALSE,Parietal Lobe,Mills et al.,1.5
AC139769.3,ENST00000502686,FALSE,Parietal Lobe,Mills et al.,1.5
ACRC,ENST00000373696,FALSE,Parietal Lobe,Mills et al.,1.5
ACTN4,ENST00000445727,FALSE,Parietal Lobe,Mills et al.,1.5
ADCY7,ENST00000394697,FALSE,Parietal Lobe,Mills et al.,1.5
AFM,ENST00000226355,FALSE,Parietal Lobe,Mills et al.,1.5
AKAP8,ENST00000269701,FALSE,Parietal Lobe,Mills et al.,1.5
AL035045.1,ENST00000408293,FALSE,Parietal Lobe,Mills et al.,1.5
AL132988.1,ENST00000476456,FALSE,Parietal Lobe,Mills et al.,1.5
AL132988.4,ENST00000488867,FALSE,Parietal Lobe,Mills et al.,1.5
AL355390.1,ENST00000325811,FALSE,Parietal Lobe,Mills et al.,1.5
AL391628.1,ENST00000407840,FALSE,Parietal Lobe,Mills et al.,1.5
AL445195.1,ENST00000467718,FALSE,Parietal Lobe,Mills et al.,1.5
AL512503.1,ENST00000463780,FALSE,Parietal Lobe,Mills et al.,1.5
ALOXE3,ENST00000380149,FALSE,Parietal Lobe,Mills et al.,1.5
ALPK2,ENST00000361673,FALSE,Parietal Lobe,Mills et al.,1.5
ARHGAP29,ENST00000260526,FALSE,Parietal Lobe,Mills et al.,1.5
ARVCF,ENST00000263207,FALSE,Parietal Lobe,Mills et al.,1.5
ATP8B1,ENST00000283684,FALSE,Parietal Lobe,Mills et al.,1.5
ATRN,ENST00000340500,FALSE,Parietal Lobe,Mills et al.,1.5
BMP2,ENST00000378827,FALSE,Parietal Lobe,Mills et al.,1.5
BOK,ENST00000318407,FALSE,Parietal Lobe,Mills et al.,1.5
C16orf47,ENST00000358463,FALSE,Parietal Lobe,Mills et al.,1.5
C1orf107,ENST00000367020,FALSE,Parietal Lobe,Mills et al.,1.5
C1orf131,ENST00000366649,FALSE,Parietal Lobe,Mills et al.,1.5
C1orf198,ENST00000523410,FALSE,Parietal Lobe,Mills et al.,1.5
C20orf11,ENST00000266069,FALSE,Parietal Lobe,Mills et al.,1.5
CABC1,ENST00000366779,FALSE,Parietal Lobe,Mills et al.,1.5
CCDC85A,ENST00000407862,FALSE,Parietal Lobe,Mills et al.,1.5
CCL22,ENST00000219235,FALSE,Parietal Lobe,Mills et al.,1.5
CDH5,ENST00000379531,FALSE,Parietal Lobe,Mills et al.,1.5
CLSTN3,ENST00000266546,FALSE,Parietal Lobe,Mills et al.,1.5
COL29A1,ENST00000312481,FALSE,Parietal Lobe,Mills et al.,1.5
CTB-33O18.3,ENST00000517299,FALSE,Parietal Lobe,Mills et al.,1.5
CTB-36O1.6,ENST00000511037,FALSE,Parietal Lobe,Mills et al.,1.5
CTD-2233C11.3,ENST00000506026,FALSE,Parietal Lobe,Mills et al.,1.5
CXorf57,ENST00000372544,FALSE,Parietal Lobe,Mills et al.,1.5
CYLD,ENST00000427738,FALSE,Parietal Lobe,Mills et al.,1.5
DCAF15,ENST00000254337,FALSE,Parietal Lobe,Mills et al.,1.5
DFFA,ENST00000377038,FALSE,Parietal Lobe,Mills et al.,1.5
DMAP1,ENST00000372283,FALSE,Parietal Lobe,Mills et al.,1.5
DOK4,ENST00000340099,FALSE,Parietal Lobe,Mills et al.,1.5
DOK6,ENST00000382713,FALSE,Parietal Lobe,Mills et al.,1.5
EBF2,ENST00000408929,FALSE,Parietal Lobe,Mills et al.,1.5
EFNB1,ENST00000204961,FALSE,Parietal Lobe,Mills et al.,1.5
EIF4BP9,ENST00000438308,FALSE,Parietal Lobe,Mills et al.,1.5
ETF1P2,ENST00000478788,FALSE,Parietal Lobe,Mills et al.,1.5
FAM46B,ENST00000445292,FALSE,Parietal Lobe,Mills et al.,1.5
FGD1,ENST00000375135,FALSE,Parietal Lobe,Mills et al.,1.5
GRIN2B,ENST00000279593,FALSE,Parietal Lobe,Mills et al.,1.5
GZF1,ENST00000338121,FALSE,Parietal Lobe,Mills et al.,1.5
H2BFM,ENST00000243297,FALSE,Parietal Lobe,Mills et al.,1.5
HDHD1A,ENST00000424830,FALSE,Parietal Lobe,Mills et al.,1.5
HS3ST1,ENST00000514690,FALSE,Parietal Lobe,Mills et al.,1.5
hsa-mir-492,ENST00000385303,FALSE,Parietal Lobe,Mills et al.,1.5
hsa-mir-639,ENST00000384974,FALSE,Parietal Lobe,Mills et al.,1.5
IGSF3,ENST00000369483,FALSE,Parietal Lobe,Mills et al.,1.5
INPP4A,ENST00000409463,FALSE,Parietal Lobe,Mills et al.,1.5
ITFG1,ENST00000320640,FALSE,Parietal Lobe,Mills et al.,1.5
KATNB1,ENST00000379661,FALSE,Parietal Lobe,Mills et al.,1.5
KCNJ12,ENST00000331718,FALSE,Parietal Lobe,Mills et al.,1.5
KIAA0664,ENST00000435359,FALSE,Parietal Lobe,Mills et al.,1.5
KLHL4,ENST00000373119,FALSE,Parietal Lobe,Mills et al.,1.5
MBD2,ENST00000256429,FALSE,Parietal Lobe,Mills et al.,1.5
MMP15,ENST00000219271,FALSE,Parietal Lobe,Mills et al.,1.5
MMP2,ENST00000219070,FALSE,Parietal Lobe,Mills et al.,1.5
MT-ATP8,ENST00000435212,FALSE,Parietal Lobe,Mills et al.,1.5
MTND4LP1,ENST00000446263,FALSE,Parietal Lobe,Mills et al.,1.5
MT-ND6,ENST00000361681,FALSE,Parietal Lobe,Mills et al.,1.5
MYOG,ENST00000241651,FALSE,Parietal Lobe,Mills et al.,1.5
N4BP1,ENST00000262384,FALSE,Parietal Lobe,Mills et al.,1.5
NETO1,ENST00000299430,FALSE,Parietal Lobe,Mills et al.,1.5
NOD2,ENST00000300589,FALSE,Parietal Lobe,Mills et al.,1.5
NSFL1C,ENST00000461211,FALSE,Parietal Lobe,Mills et al.,1.5
NUDT21,ENST00000300291,FALSE,Parietal Lobe,Mills et al.,1.5
ONECUT2,ENST00000491143,FALSE,Parietal Lobe,Mills et al.,1.5
OR13G1,ENST00000359688,FALSE,Parietal Lobe,Mills et al.,1.5
PGBD2,ENST00000355360,FALSE,Parietal Lobe,Mills et al.,1.5
